Semaine,Binance
2020-04-12,2
2020-04-19,2
2020-04-26,3
2020-05-03,4
2020-05-10,3
2020-05-17,2
2020-05-24,2
2020-05-31,3
2020-06-07,4
2020-06-14,3
2020-06-21,2
2020-06-28,2
2020-07-05,2
2020-07-12,3
2020-07-19,6
2020-07-26,5
2020-08-02,5
2020-08-09,7
2020-08-16,8
2020-08-23,5
2020-08-30,5
2020-09-06,4
2020-09-13,5
2020-09-20,3
2020-09-27,3
2020-10-04,3
2020-10-11,4
2020-10-18,3
2020-10-25,4
2020-11-01,3
2020-11-08,4
2020-11-15,5
2020-11-22,8
2020-11-29,6
2020-12-06,4
2020-12-13,6
2020-12-20,10
2020-12-27,12
2021-01-03,16
2021-01-10,15
2021-01-17,13
2021-01-24,24
2021-01-31,32
2021-02-07,59
2021-02-14,92
2021-02-21,57
2021-02-28,32
2021-03-07,46
2021-03-14,67
2021-03-21,48
2021-03-28,67
2021-04-04,100
