semaine,ripple
2020-04-12,24
2020-04-19,22
2020-04-26,24
2020-05-03,25
2020-05-10,28
2020-05-17,25
2020-05-24,23
2020-05-31,24
2020-06-07,23
2020-06-14,25
2020-06-21,23
2020-06-28,22
2020-07-05,23
2020-07-12,23
2020-07-19,24
2020-07-26,31
2020-08-02,34
2020-08-09,30
2020-08-16,29
2020-08-23,25
2020-08-30,26
2020-09-06,22
2020-09-13,22
2020-09-20,21
2020-09-27,20
2020-10-04,22
2020-10-11,22
2020-10-18,23
2020-10-25,23
2020-11-01,22
2020-11-08,24
2020-11-15,35
2020-11-22,71
2020-11-29,45
2020-12-06,35
2020-12-13,44
2020-12-20,79
2020-12-27,76
2021-01-03,73
2021-01-10,53
2021-01-17,42
2021-01-24,49
2021-01-31,100
2021-02-07,69
2021-02-14,66
2021-02-21,76
2021-02-28,40
2021-03-07,41
2021-03-14,38
2021-03-21,41
2021-03-28,38
2021-04-04,94
